model_name,count
Mustang Shelby GT500,65
Corolla iM,64
Grand Marquis,64
S5 Sportback,64
Vibe,63
QX70,63
CX-7,63
R8,62
QX56,62
Commander,62
H3,61
Outlander Hybrid Plug-in ,61
Land Cruiser,59
Explorer Sport Trac,59
G90,58
G35,56
FX35,55
S80,54
Captiva Sport,53
Veloster Turbo,53
Crosstour,52
xB,52
SQ7,52
Express Chassis,52
Mariner,51
ATS Coupe,51
Boxster,51
LX 570,50
Camry Solara,50
Sierra 3500HD Chassis,49
Aveo,49
Sonata Hybrid Plug-In ,48
Altima Coupe,48
LR4,47
Explorer Hybrid,47
X6 M,46
F-550 Super Duty,46
Civic Hybrid,46
JX35,46
Mountaineer,46
RLX,45
Optima Hybrid,44
Q5 Hybrid Plug-in,44
H2,44
S7,44
M6,43
Milan,43
Azera,43
SX4,42
IS 350,42
Malibu Hybrid,42
Grand Prix,42
RX 330,41
fortwo,41
Continental GT,41
GX 470,41
xD,40
NV Passenger,40
Cayenne E-Hybrid,40
Q70,39
Soul EV,38
EX35,38
1 Series,37
MDX Hybrid Sport,37
Golf R,37
Q70L,37
Firebird,37
ION,37
RC,37
Tribeca,36
S40,36
Clarity Hybrid Plug-In ,36
DeVille,35
Continental GTC,35
Elantra Touring,35
5 Series Gran Turismo,35
ES 300,34
Tribute,34
Forte Koup,34
S8,33
Vantage,33
M37,33
Civic Type R,32
CLK-Class,32
LeSabre,32
LR2,32
LS 500,32
Routan,32
CTS Coupe,31
Veracruz,31
M2,30
Genesis Coupe,30
Galant,30
A6 Allroad,30
SLK-Class,30
Model X,29
RAM 3500,28
Impreza WRX STI,28
Prius Plug-In,28
GT-R,27
Crossfire,27
Sable,27
RC 300,27
XK-Series,27
Cavalier,27
LX,27
M35,27
Cayman,27
Envoy XL,26
Monte Carlo,26
C70,26
Endeavor,26
Silverado 3500,25
FR-S,25
Rabbit,25
ES 330,25
R-Class,25
Flying Spur,24
e-Golf,24
RC 350,24
Regal Sportback,24
MAZDA2,24
Trailblazer EXT,23
CL-Class,23
RX 400h,23
Crown Victoria,23
Panamera E-Hybrid,23
B9 Tribeca,23
Cascada,22
Century,22
RL,22
Eclipse,22
A4 Avant,22
Bronco,21
S-10,21
Eos,21
City Express,21
Veloster N,21
LS 430,21
Sierra 1500 Limited,21
LC,21
XV Crosstrek Hybrid,21
Silverado Classic 1500,20
Freestyle,20
Escalade EXT,20
A3 Sportback,20
Torrent,20
Spectra,20
RLX Hybrid Sport,20
Five Hundred,20
RC F,19
Outlook,19
RS 3,19
Regal TourX,19
X4 M,19
i8,18
Rendezvous,18
