sp_name,count
Jeffrey Automotive Group,326
Subaru Stamford,326
Hartford Toyota Super Store,325
All American Ford of Paramus,325
Hudson Hyundai,325
Tamaroff Auto Group,324
Quality Chevrolet Buick GMC,323
Imperial Hyundai,323
Atamian Honda,322
Apple Honda,322
Koons Arlington Toyota,320
Loehmann Blasius Chevrolet Cadillac,320
Bright Bay Auto Group,319
DARCARS Chrysler Jeep Dodge of Rockville,319
Al Packer White Marsh Ford,317
GR Auto Gallery,317
Skalnek Ford Inc,317
Mike Anderson Chevrolet of Merrillville,316
Balise Toyota Springfield,315
Millennium Chevrolet,314
Sloane Toyota of Philadelphia,314
Destination Nissan,314
Koons Clarksville Chevrolet Buick GMC,313
Generation Kia,313
Steven's Ford,313
Auto Lenders of Williamstown,313
Acton Toyota of Littleton,312
Bob Ruth Ford,312
Cole Nissan,312
Sansone Auto Group,312
Coleman Buick GMC Cadillac,312
Nissan of Atlantic City,312
Herb Chambers Honda of Westborough,311
Turnersville Chrysler Jeep Dodge Ram,311
Auto Park Buick GMC - Plymouth,311
Balise Honda of West Warwick,310
Mercedes Benz of Burlington,310
Victory Mitsubishi,310
Heidebreicht Chevrolet,310
Celebration Kia,309
Hudson Honda,309
Honda of Owings Mills,309
Bobby Rahal Toyota,309
Cambridge Honda,308
DCH Freehold Toyota,308
Prestige Collection,307
Lester Glenn Hyundai,307
Toyota of Bowie,306
CarMax Tinley Park - Now offering Curbside Pickup,306
Lexus of Watertown,306
Honda of Freehold,305
Team Toyota of Glen Mills,305
Copeland Chevrolet,305
Holman Ford Lincoln,304
Portsmouth Chevrolet,304
O'Neil Buick GMC,303
Central Avenue Chrysler Jeep,303
Phillips Chevrolet of Lansing,303
Acura of Ramsey,302
Wally Edgar Chevrolet,301
Baron Honda,301
Yankee Ford of South Portland,301
Miller Motorcars,299
Silko Honda,299
Sloane Toyota of Malvern,298
Boch Toyota,298
BMW of Mount Laurel,298
Shuman Chrysler Dodge Jeep Ram,297
Twin City Subaru,297
All American Ford & Subaru of Old Bridge,296
Bob Davidson Ford Lincoln,296
Lexus of Englewood,296
Berlin City Honda of Portland,296
Jaguar Land Rover Huntington,295
Malouf Ford,295
Highline Car Connection,294
Herb Chambers Ford of Braintree,294
Schepel Buick GMC,294
Paul Miller Honda of West Caldwell,293
Cranbury Buick GMC,293
Boch New to You,292
Avon Auto Brokers,292
Bob Bell Nissan Kia of Baltimore,291
Kingston Nissan,290
Holman Toyota,290
Maple Hill Auto Group,289
Brandfon Honda,289
Lexus of Brooklyn,288
Brown's Arlington Honda,287
DCH Montclair Acura,287
Mohawk Honda,286
Herb Chambers BMW of Boston,286
Prestige Toyota,286
Allen Mello CDJR of Nashua,285
